用例名称,优先级,前置条件,步骤描述,预期结果
项目组件-迭代-敏捷看板：检查敏捷看版导航栏（有多个敏捷看版）,P1,"1. 项目1下面存在迭代1（迭代周期为本周）
2. 进入Project Management-项目1-Sprint-迭代1-Scrum board
3. 迭代1存在两个敏捷看板：
-敏捷看板敏捷看板敏捷看板敏捷看板（最长16个字符）
-需求看板
4. 屏幕宽度为1680px","#检查Scrum board中的导航栏
#点击看板名称旁边的箭头⬇️
#1. 选择看板：需求看板（Group by parent/subissues
2. 检查Scrum board中的导航栏
#鼠标hover看板名称
#1. 切换屏幕宽度为1440px
2. 再次检查Scrum board中的导航栏
#1. 切换屏幕宽度为1280px
2. 再次检查Scrum board中的导航栏
#鼠标hover看板名称
#1. 切换屏幕宽度为1024px
2. 再次检查Scrum board中的导航栏","#导航栏依次显示以下信息，一行展示不换行：
1. 看版名称：敏捷看板敏捷看板敏捷看板敏捷看板
2. 副文案： (Group by linked issues)右边有个向下的箭头⬇️
3. Burndown chart
4. Time remaining |
5. Board content Filters
6. Quick filter
7. 设置图标+文案 Board Management
#展开所有看板下拉框：
敏捷看板敏捷看板敏捷看板敏捷看板（Group by li...）
需求看板（Group by parent/subissues）

#导航栏依次显示以下信息，一行展示不换行：
1. 看版名称：需求看板
2. 副文案：（Group by parent/subissues）
右边有个向下的箭头⬇️
3. Burndown chart
4. Time remaining |
5. Board content Filters
6. Quick filter
7. 设置图标+文案 Board Management
#无tooltips
#导航栏依次显示以下信息，一行展示不换行：
1. 看版名称：需求看板
2. 副文案：（Group by parent/subissues）右边有个向下的箭头⬇️
3. Burndown chart
4. Time remaining |
5. Board content Filters
6. Quick filter
7. 设置图标
#导航栏依次显示以下信息，一行展示不换行：
1. 看版名称：需求...(名称自适应省略)
2. 副文案：（Group by parent/subissues）右边有个向下的箭头⬇️
3. Burndown...(名称自适应省略)
4. Time rema... | (名称自适应省略)
5. Board content Filters
6. Quick...(名称自适应省略)
7. 设置图标
#tooltips显示完整看板名称:
需求看板
#导航栏依次显示以下信息，一行展示不换行, 页面可以左右滚动查看：
1. 看版名称：需求...(名称自适应省略)
2. 副文案：（Group by parent/subissues）右边有个向下的箭头⬇️
3. Burndown...(名称自适应省略)
4. Time rema... | (名称自适应省略)
5. Board content Filters
6. Quick...(名称自适应省略)
7. 设置图标"
项目组件-迭代-敏捷看板：检查敏捷看版导航栏（有一个敏捷看版）,P1,"1. 项目1下面存在迭代1（迭代周期为本周）
2. 进入Project Management-项目1-Sprint-迭代1-Scrum board
3. 迭代1只存在一个敏捷看板：敏捷看板敏捷看板敏捷看板敏捷看板（最长16个字符）
4. 屏幕宽度为1680px","#检查Scrum board中的导航栏
#鼠标hover看板名称
#1. 切换屏幕宽度为1440px
2. 再次检查Scrum board中的导航栏
#鼠标hover看板名称
#1. 切换屏幕宽度为1280px
2. 再次检查Scrum board中的导航栏
#1. 切换屏幕宽度为1024px
2. 再次检查Scrum board中的导航栏","#导航栏依次显示以下信息，一行展示不换行：
1. 看版名称：敏捷看板敏捷看板敏捷看板...(名称自适应省略)
2. 副文案： (Group by linked issues)
3. Burndown chart
4. Time remaining |
5. Board content Filters
6. Quick filter
7. 设置图标+文案 Board Management
#tooltips显示完整看版名称：
敏捷看板敏捷看板敏捷看板敏捷看板
#导航栏依次显示以下信息，一行展示不换行：
1. 看版名称：敏捷看板...(名称自适应省略)
2. 副文案： (Group by linked issues)
3. Burndown chart
4. Time remaining |
5. Board content Filters
6. Quick filter
7. 设置图标
#tooltips显示完整看版名称：
敏捷看板敏捷看板敏捷看板敏捷看板
#导航栏依次显示以下信息，一行展示不换行：
1. 看版名称：敏捷看板...(名称自适应省略)
2. 副文案： (Group by linked issues)
3. Burndown...(名称自适应省略)
4. Time rema... | (名称自适应省略)
5. Board content Filters
6. Quick...(名称自适应省略)
7. 设置图标
#导航栏依次显示以下信息，一行展示不换行, 页面可以左右滚动查看：
1. 看版名称：敏捷看板...(名称自适应省略)
2. 副文案： (Group by linked issues)
3. Burndown...(名称自适应省略)
4. Time rema... | (名称自适应省略)
5. Board content Filters
6. Quick...(名称自适应省略)
7. 设置图标"
项目组件-迭代-概览：检查剩余工时燃尽图,P1,"1. 项目1下面存在迭代1（迭代周期为本周），迭代1下面存在需求1， 任务1，缺陷1，子需求1和子任务1
需求1本周存在预估工时10h， 已登记工时2h
2. 进入Project Management-项目1-Sprint-迭代1-Overview
3. 燃尽图配置：
Issue type
Specific issue type: Requirement, Bug, Task, Sub-requirement, Sub-task, Release","#1. 点击「Time remaining burndown」
2. 检查Time remaining burndown页面","#Burndown chart下面显示两个复选框：
1. The remaining time of Requirement，Bug，Task，Sub-requirement，Sub-task，Release - 
2. Baseline ----

复选框1中间的符号跟语言有关：
中文&日文：工作项中间用顿号隔开
英文：工作项中间用逗号隔开"
项目组件-迭代-概览：检查工作项燃尽图,P1,"1. 项目1下面存在迭代1（迭代周期为本周），迭代1下面存在需求1， 任务1，缺陷1，子需求1和子任务1
2. 进入Project Management-项目1-Sprint-迭代1-Overview
3. 燃尽图配置：
Issue type
Specific issue type: Requirement, Bug, Task, Sub-requirement, Sub-task",#检查Overview中「Issue burndown」页面,"#Burndown chart下面显示两个复选框：
1. The number of Requirement， Bug，Task，Sub-requirement，Sub-task，Release - 
2. Baseline ----

复选框1中间的符号跟语言有关：
中文&日文：工作项中间用顿号隔开
英文：工作项中间用逗号隔开"
项目组件-一级导航栏：检查增加多个二级导航栏时的页面展示,P2,存在一级导航栏「研发活动」，有以下工作项类型组件，分别为「迭代」、「SWTSK」、「SWBUG」、「TASK」、「交付物」、「里程碑」、「任务」、「执行」,"#选中一级导航栏「研发活动」，将「迭代」、「SWTSK」、「SWBUG」、「TASK」、「交付物」、「里程碑」、「任务」、「执行」组件拖拽到二级导航栏区，浏览器缩放为“100%”
#将浏览器缩放为“175%”
#将浏览器缩放为“67%”","#二级导航栏展开显示「迭代」、「SWTSK」、「SWBUG」、「TASK」、「交付物」、「里程碑」、「任务」、「执行」，展示情况见备注图1
#展示情况见备注图2
#展示情况见备注图3"
项目组件-一级导航栏：检查增加5个二级导航栏时的页面展示,P2,存在一级导航栏「内部技术支持」，自定义5个工作项类型组件，分别为「L2交付技术支持」、「L3产研支持」、「L3解决方案支持」、「L3测试支持」、「L3架构支持」,#选中一级导航栏「内部技术支持」，将自定义的5个工作项类型组件拖拽到二级导航栏区,#二级导航栏展开显示「L2交付技术支持」、「L3产研支持」、「L3解决方案支持」、「L3测试支持」、「L3架构支持」，展示情况见备注图
项目组件-公共视图：空态（暂无视图）,P2,存在组件「发布」，当前只有一个视图未发布,#删除视图「未发布」,#删除成功，界面展示：暂无视图
项目组件-工单-表单管理-编辑表单：检查表单属性列表,P1,"1. 项目A下面存在工单表单1，表单中有多选菜单属性A, 无其他可添加的属性：
属性名称：多选菜单属性名称很长很长很长很长很长很长很长很长很长很长很长很长（32个字符）
默认值： 选项1测试很长很长很长很长很长很长很长很长很长啦（24个字符）
2. 进入项目A-Settings-Components-Ticket-Form management-Edit form","#检查「Edit form」弹窗中Form fields列表
#鼠标hover属性名称：
多选菜单属性名称很长很长很长很长很长很长很长很... 
#鼠标hover默认值：
选项1测试很长很长很长很长...","#1. 表头：
Issue field 
Filed type
Required
Default
Action
2. 属性内容：
-多选菜单属性名称很长很长很长很长很长很长很长很...   Select list (multiple choices) 
  No    选项1测试很长很长很长很长...    Remove(蓝色链接可点击)
3. 列表下方显示： No field value available.
#tooltips展示完整内容
#浏览器title显示完整内容"
项目组件-工单-表单管理-新建表单：检查表单属性列表,P1,"1. 项目A下面存在工单组件， 工单的详情视图中有多选菜单属性A:
属性名称：多选菜单属性名称很长很长很长很长很长很长很长很长很长很长很长很长（32个字符）
默认值： 选项1测试很长很长很长很长很长很长很长很长很长啦（24个字符）
2. 进入项目A-Settings-Components-Ticket-Form management-New form","#检查「New form」弹窗中Form fields列表
#点击「Add ticket field」下拉框
#选择「多选菜单属性名称很长很长很长很长很长很...」
#鼠标hover属性名称：
多选菜单属性名称很长很长很长很长很长很长很长很... 
#鼠标hover默认值：
选项1测试很长很长很长很长...","#1. 表头：
Issue field 
Filed type
Required
Default
Action
2.属性内容：
-Description    Rich text    No    No input    Remove(蓝色链接可点击)
- Attachment    Attachment    No    -   Remove(蓝色链接可点击)
默认只展示这两个属性
3. Add ticket field下拉框
#显示以下属性选项：
多选菜单属性名称很长很长很长很长很长很...(名称超长自定义省略)
#1. 属性出现在属性列表中：
-多选菜单属性名称很长很长很长很长很长很长很长很...   Select list (multiple choices) 
  No    选项1测试很长很长很长很长...    Remove(蓝色链接可点击)的「Add ticket field」下拉框消失
2. 列表下方显示： No field value available.
#tooltips展示完整内容
#浏览器title显示完整内容"
项目组件-工单-表单管理-编辑表单：检查「编辑表单」弹窗展示,P1,"1. 项目A下面存在工单表单1
2. 进入项目A-Settings-Components-Ticket-Form management",#点击表单1右边的edit图标,"#出现「New form」弹窗：
1. 弹窗标题： New form
2. 提示文案：You can customize form style and content in mini apps. When a user submits a form, a ticket is automatically created in the project.
3. Form names：表单1
4. Form tip： 提示信息
5. Ticket mini app agent account：代理账号
6. Form fields： 显示表单属性列表
7. Cancel Ok按钮"
